date,plant_id,field_name,height_cm,growth_delta,temp_pf,humidity,co2,illuminance,solar_radiation,vapor_pressure_deficit,dew_point,solar_radiation_cumsum,growth_tomorrow,weekday,weeknum
2025-01-16,1,12号棟,40.0,-13.0,8.237135416666668,85.53993055555556,423.9536458333333,5.094097222222223,303488,1.3959027777777775,5.786770833333334,6.07464,-31.0,3,3
2025-01-16,2,12号棟,42.0,-25.0,8.237135416666668,85.53993055555556,423.9536458333333,5.094097222222223,303488,1.3959027777777775,5.786770833333334,6.07464,-33.0,3,3
2025-01-16,3,12号棟,36.0,-26.0,8.237135416666668,85.53993055555556,423.9536458333333,5.094097222222223,303488,1.3959027777777775,5.786770833333334,6.07464,-27.0,3,3
2025-01-23,1,12号棟,45.0,36.0,10.328864188954498,79.34472038902398,446.3320597429663,6.289510246613408,373149,2.5580757207363667,6.462643278916291,8.53332,-17.0,3,4
2025-01-23,2,12号棟,45.0,36.0,10.328864188954498,79.34472038902398,446.3320597429663,6.289510246613408,373149,2.5580757207363667,6.462643278916291,8.53332,-16.0,3,4
2025-01-23,3,12号棟,40.0,31.0,10.328864188954498,79.34472038902398,446.3320597429663,6.289510246613408,373149,2.5580757207363667,6.462643278916291,8.53332,-17.0,3,4
2024-08-27,1,３号棟,8.0,-27.0,30.252847222222226,72.23793402777778,429.2470486111111,12.786458333333334,750350,9.228854166666666,24.4721875,18.14778,7.0,1,35
2024-08-27,2,３号棟,8.0,-26.0,30.252847222222226,72.23793402777778,429.2470486111111,12.786458333333334,750350,9.228854166666666,24.4721875,18.14778,6.0,1,35
2024-08-27,3,３号棟,8.0,-28.0,30.252847222222226,72.23793402777778,429.2470486111111,12.786458333333334,750350,9.228854166666666,24.4721875,18.14778,7.0,1,35
2024-09-03,1,３号棟,15.0,7.0,26.65991319444445,83.63532986111112,450.1756944444445,9.626215277777778,567353,4.795503472222222,23.400590277777777,11.98596,48.0,1,36
2024-09-03,2,３号棟,14.0,6.0,26.65991319444445,83.63532986111112,450.1756944444445,9.626215277777778,567353,4.795503472222222,23.400590277777777,11.98596,46.0,1,36
2024-09-03,3,３号棟,15.0,7.0,26.65991319444445,83.63532986111112,450.1756944444445,9.626215277777778,567353,4.795503472222222,23.400590277777777,11.98596,44.0,1,36
2024-09-10,1,３号棟,22.0,14.0,29.304548611111112,75.30166666666666,449.3376736111111,12.8,750786,8.544583333333334,24.04039930555556,20.74776,24.0,1,37
2024-09-10,2,３号棟,21.0,13.0,29.304548611111112,75.30166666666666,449.3376736111111,12.8,750786,8.544583333333334,24.04039930555556,20.74776,26.0,1,37
2024-09-10,3,３号棟,24.0,16.0,29.304548611111112,75.30166666666666,449.3376736111111,12.8,750786,8.544583333333334,24.04039930555556,20.74776,22.0,1,37
2024-09-17,1,３号棟,31.0,13.0,29.920173611111117,77.69602430555555,459.8786458333333,11.828993055555555,694417,8.33967013888889,25.07923611111111,18.22734,29.0,1,38
2024-09-17,2,３号棟,34.0,16.0,29.920173611111117,77.69602430555555,459.8786458333333,11.828993055555555,694417,8.33967013888889,25.07923611111111,18.22734,30.0,1,38
2024-09-17,3,３号棟,35.0,17.0,29.920173611111117,77.69602430555555,459.8786458333333,11.828993055555555,694417,8.33967013888889,25.07923611111111,18.22734,25.0,1,38
2024-09-24,1,３号棟,41.0,15.0,24.141232638888887,78.02439236111111,441.63715277777777,10.033506944444444,590331,5.772708333333334,19.712152777777774,14.34372,-21.0,1,39
2024-09-24,2,３号棟,47.0,21.0,24.141232638888887,78.02439236111111,441.63715277777777,10.033506944444444,590331,5.772708333333334,19.712152777777774,14.34372,-27.0,1,39
2024-09-24,3,３号棟,48.0,22.0,24.141232638888887,78.02439236111111,441.63715277777777,10.033506944444444,590331,5.772708333333334,19.712152777777774,14.34372,-27.0,1,39
