date,株番号,field_name,height_cm,growth_delta,PF 測定 気温,湿度,CO2濃度,照度,日射量,飽差,露点,積算日射量,growth_tomorrow,weekday,weeknum
2024-11-05,3,３号棟,33.0,-27.0,17.472465277777776,79.49232638888888,430.2602430555556,8.513541666666667,501133,3.5214236111111115,13.553715277777776,9.89826,-18.0,1,45
2024-11-12,1,３号棟,39.0,15.0,16.012239583333333,82.47715277777777,434.70243055555557,9.072395833333333,533925,3.0494965277777775,12.730711805555554,11.54178,-9.0,1,46
2024-11-12,2,３号棟,40.0,15.0,16.012239583333333,82.47715277777777,434.70243055555557,9.072395833333333,533925,3.0494965277777775,12.730711805555554,11.54178,-11.0,1,46
2024-11-12,3,３号棟,42.0,18.0,16.012239583333333,82.47715277777777,434.70243055555557,9.072395833333333,533925,3.0494965277777775,12.730711805555554,11.54178,-12.0,1,46
2024-11-19,1,３号棟,46.0,36.0,10.80804098645363,78.66309482459187,429.5364709968739,4.85567905522751,289945,2.2348037513025356,7.063667940257034,5.43654,-7.0,1,47
2024-11-19,2,３号棟,49.0,39.0,10.80804098645363,78.66309482459187,429.5364709968739,4.85567905522751,289945,2.2348037513025356,7.063667940257034,5.43654,-13.0,1,47
2024-11-19,3,３号棟,49.0,39.0,10.80804098645363,78.66309482459187,429.5364709968739,4.85567905522751,289945,2.2348037513025356,7.063667940257034,5.43654,-15.0,1,47
2024-11-26,1,３号棟,55.0,44.0,14.409201388888889,83.1763888888889,432.15833333333336,4.547569444444444,272396,2.32421875,11.425208333333332,4.75746,-11.0,1,48
2024-11-26,2,３号棟,58.0,47.0,14.409201388888889,83.1763888888889,432.15833333333336,4.547569444444444,272396,2.32421875,11.425208333333332,4.75746,-16.0,1,48
2024-11-26,3,３号棟,57.0,47.0,14.409201388888889,83.1763888888889,432.15833333333336,4.547569444444444,272396,2.32421875,11.425208333333332,4.75746,-15.0,1,48
2024-12-03,1,３号棟,61.0,48.0,13.073541666666667,78.17131944444444,462.67569444444445,7.167881944444445,423279,3.1278472222222224,8.988229166666667,8.38236,-51.0,1,49
2024-12-03,2,３号棟,63.0,50.0,13.073541666666667,78.17131944444444,462.67569444444445,7.167881944444445,423279,3.1278472222222224,8.988229166666667,8.38236,-53.0,1,49
2024-12-03,3,３号棟,61.0,49.0,13.073541666666667,78.17131944444444,462.67569444444445,7.167881944444445,423279,3.1278472222222224,8.988229166666667,8.38236,-51.0,1,49
2024-12-05,1,３号棟,10.0,-51.0,11.147673611111111,77.01192708333333,440.12065972222223,5.824305555555555,345813,2.660277777777778,6.8941840277777775,6.61548,38.0,3,49
2024-12-05,2,３号棟,10.0,-53.0,11.147673611111111,77.01192708333333,440.12065972222223,5.824305555555555,345813,2.660277777777778,6.8941840277777775,6.61548,37.0,3,49
2024-12-05,3,３号棟,10.0,-51.0,11.147673611111111,77.01192708333333,440.12065972222223,5.824305555555555,345813,2.660277777777778,6.8941840277777775,6.61548,40.0,3,49
2024-12-12,1,３号棟,10.0,-5.0,9.738958333333333,83.87826388888888,428.19965277777777,4.293055555555555,257187,1.660642361111111,6.969236111111112,4.9482,41.0,3,50
2024-12-12,2,３号棟,10.0,-4.0,9.738958333333333,83.87826388888888,428.19965277777777,4.293055555555555,257187,1.660642361111111,6.969236111111112,4.9482,44.0,3,50
2024-12-12,3,３号棟,10.0,-3.0,9.738958333333333,83.87826388888888,428.19965277777777,4.293055555555555,257187,1.660642361111111,6.969236111111112,4.9482,42.0,3,50
2024-12-19,1,３号棟,13.0,-4.0,8.258923611111111,87.76421875,427.49322916666665,2.6852430555555555,165154,1.0632465277777778,6.3184201388888885,2.92158,46.0,3,51
2024-12-19,2,３号棟,14.0,-3.0,8.258923611111111,87.76421875,427.49322916666665,2.6852430555555555,165154,1.0632465277777778,6.3184201388888885,2.92158,44.0,3,51
